id,fss,kf,n,idoc,ratio,dg suspended sed. (< 0.25mm),depth,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Frings et al. (2011)  [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],250,125,63,31.5,16,8,4,2,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05
Ref before,17.705561,2.34E-04,0.20736887,12.13,14.83316023,0.13835024,0.12,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref before,17.705561,2.14E-04,0.20736887,12.13,14.83316023,0.13835024,0.15,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref before,17.705561,7.22E-05,0.20736887,11.67,14.83316023,0.13835024,0.18,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref before,17.705561,1.74E-06,0.20736887,11.71,14.83316023,0.13835024,0.27,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref before,17.705561,,0.20736887,11.22,14.83316023,0.13835024,0.24,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref before,17.705561,,0.20736887,11.34,14.83316023,0.13835024,0.27,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
Ref after,19.49164249,1.45E-02,0.197577875,12.63,10.96665209,0.142977017,0.12,6155204.529,1464113.713,0.355103912,0.487848411,2.694444444,4.170773639,10.32637076,14.10652742,24.18275547,31.64642578,45.0074707,17.18377125,3.929205839,8.0541532,0.487848411,22.20413515,2.505904309,3.986751901,31.00970734,39.72506903,3.472623229,0.252408149,0.258609371,0.206760408,6.87E-05,7.52E-05,2.86E-05,3.36E-05,100,100,98.07984528,83.93424506,65.00897914,43.84583506,29.3825114,22.66887692,16.54924713,5.249343832,1.215637519,0.524934383,0,0,0
Ref after,19.49164249,7.71E-03,0.197577875,12.45,10.96665209,0.142977017,0.15,6155204.529,1464113.713,0.355103912,0.487848411,2.694444444,4.170773639,10.32637076,14.10652742,24.18275547,31.64642578,45.0074707,17.18377125,3.929205839,8.0541532,0.487848411,22.20413515,2.505904309,3.986751901,31.00970734,39.72506903,3.472623229,0.252408149,0.258609371,0.206760408,6.87E-05,7.52E-05,2.86E-05,3.36E-05,100,100,98.07984528,83.93424506,65.00897914,43.84583506,29.3825114,22.66887692,16.54924713,5.249343832,1.215637519,0.524934383,0,0,0
Ref after,19.49164249,3.32E-03,0.197577875,11.77,10.96665209,0.142977017,0.18,6155204.529,1464113.713,0.355103912,0.487848411,2.694444444,4.170773639,10.32637076,14.10652742,24.18275547,31.64642578,45.0074707,17.18377125,3.929205839,8.0541532,0.487848411,22.20413515,2.505904309,3.986751901,31.00970734,39.72506903,3.472623229,0.252408149,0.258609371,0.206760408,6.87E-05,7.52E-05,2.86E-05,3.36E-05,100,100,98.07984528,83.93424506,65.00897914,43.84583506,29.3825114,22.66887692,16.54924713,5.249343832,1.215637519,0.524934383,0,0,0
Ref after,19.49164249,2.58E-03,0.197577875,10.57,10.96665209,0.142977017,0.21,6155204.529,1464113.713,0.355103912,0.487848411,2.694444444,4.170773639,10.32637076,14.10652742,24.18275547,31.64642578,45.0074707,17.18377125,3.929205839,8.0541532,0.487848411,22.20413515,2.505904309,3.986751901,31.00970734,39.72506903,3.472623229,0.252408149,0.258609371,0.206760408,6.87E-05,7.52E-05,2.86E-05,3.36E-05,100,100,98.07984528,83.93424506,65.00897914,43.84583506,29.3825114,22.66887692,16.54924713,5.249343832,1.215637519,0.524934383,0,0,0
