species,name,native,endangered,habitat,waterdepthmin,waterdepthmax,rootdepth,groundwatertablechange,floodheightmax,floodlossinpercent,floodduration
Alnus incana,Grauerle,1,not endangered,Alpenvorland,NoData,NoData,Nodata,NoData,282,25,NoData
Carex sylvatica,Wald Segge,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
carex acuta,Schlanke Segge,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
circae lutetiana,Grosses hexenkraut,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
clematis vitalba,Gewoehnliche Waldrebe,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
fraxinus excelsior,Gemeine Esche,1,not endangered,Alpenvorland,NoData,70,NoData,NoData,340,25,45
Hydrocharis morsus ranae,Froschbiss,1,pre warning,Alpenvorland,20,40,NoData,NoData,NoData,NoData,NoData
Humulus lupulus,Hopfen,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Myricaria germanica,Deutsche Tamariske,1,threatened with extinction,Alpenvorland,NoData,180,NoData,NoData,NoData,NoData,NoData
Phalaris arundinacea,Rohrglanzgras,1,not endangered,Alpenvorland,NoData,130,NoData,NoData,NoData,NoData,NoData
Phragmites australis,Schilfrohr,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Populus nigra,Schwarzpappel,1,endangered,Alpenvorland,NoData,NoData,NoData,50-280,160,NoData,NoData
Populus alba,Silberpappel,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,180,NoData,NoData
Potamogeton pectinatus,Kamm Laichkraut,1,not endangered,Alpenvorland,20,350,NoData,NoData,NoData,NoData,NoData
Salix purpurea,Purpur Weide,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,210,NoData,170
Salix alba,Silber Weide,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,350,NoData,169
Salix fragilis,Bruch Weide,1,not endangered,Alpenvorland,NoData,NoData,NoData,50-280,351,NoData,170
Salix eleagnos,Lavendel Weide,1,pre warning,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Solanum Dulcamara,Bittersuesser Nachtschatten,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Sparganium erectum,Aestiger Igelkolben,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Typha latifolia,Breitblaettriger Rohrkolben,1,not endangered,Alpenvorland,NoData,NoData,NoData,NoData,200,NoData,NoData
Calamagrostis pseudophragmites,Ufer Reitgras,1,strongly endangered,Alpenvorland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Betula pendula,Haenge Birke,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,40-130,240,25,NoData
Quercus robur,Stieleiche,1,not endangered,Niederrheinisches Tiefland,NoData,70,NoData,30-150,349,NoData,113
Betula pubescens s.str.,Moor Birke,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,0-30,20,NoData,150
Alnus glutinosa,Schwarzerle,1,not endangered,Niederrheinisches Tiefland,NoData,70,NoData,0-80,312,50,29-45
Fraxinus excelsior,Gemeine Esche,1,not endangered,Niederrheinisches Tiefland,NoData,70,NoData,NoData,340,25,45
Frangula alnus,Echter Faulbaum,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,10-30,50,NoData,270
Ribes rubrum,Rote Johannisbeere,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,170
Ribes nigrum,Schwarze Johannisbeere,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,10-30,50,NoData,90
Rubus caesius,Kratzbeere,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,NoData,300,NoData,120
Populus nigra,Schwarzpappel,1,edangered,Niederrheinisches Tiefland,NoData,NoData,NoData,50-280,160,NoData,NoData
Viburnum opulus,Gewoehnlicher Schneeball,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,0-40,200,25,120
Prunus padus,Gewoehnliche Traubenkirsche,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,10-60,NoData,NoData,NoData
Ulmus laevis,Flatterulme,1,pre warning,Niederrheinisches Tiefland,NoData,NoData,NoData,50-280,400,NoData,90
Salix fragilis,Bruchweide,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,50-280,350,NoData,170
Salix viminalis,Korbweide,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,50-280,>250,NoData,170
Salix aurita,Ohr Weide,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,0-20,NoData,NoData,NoData
Salix purpurea,Purpur Weide,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,NoData,350,NoData,170
Ribes uva-crispa,Stachelbeere,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Ulmus minor,Feldulme,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,50-280,270,NoData,90
Salix cinerea,Grau Weide,1,not endangered,Niederrheinisches Tiefland,NoData,NoData,NoData,10cm-30cm,200,NoData,270
