Gattung,NameSpez,Nativ,Art,Vorkommen,Habitat
Alnus,Alnus Incana,1,Laubgehölze,Aue,Alpenvorland
Carex,Carex sylvatica,1,Gras,Aue,Alpenvorland
Carex,Carex acuta,1,Krautig,Ufer,Alpenvorland
Circaea,Circaea lutetiana,1,Krautig,Aue,Alpenvorland
clematis,Clematis Vitalba,1,Kletterpflanze,Aue,Alpenvorland
fraxinus,Fraxinus excelsior,1,Laubgehölze,Aue,Alpenvorland
Froschbiß,Hydrocharis morsus-ranae,1,Wasserpflanze,Fluss,Alpenvorland
Humulus,Humulus Lupulus,1,Kletterpflanze,Aue,Alpenvorland
Myricaria,Myricaria germanica,1,Strauch,Aue,Alpenvorland
Phalaris,Phalaris arundinacea,1,Gras,Ufer,Alpenvorland
Phragmites,Phragmites australis,1,Gräser,Röhrichtzone,Alpenvorland
Populus,Populus nigra,1,Baum,Aue,Alpenvorland
Populus,Populus alba,1,Baum,Aue,Alpenvorland
Potamogeto,Potamogeto pectinatus,1,Krautig,Fluss,Alpenvorland
Salix,Salix purpurea,1,Strauch,Ufer,Alpenvorland
Salix,Salix alba,1,Laubgehölze,Aue,Alpenvorland
Salix,Salix fragilis,1,Baum,Aue,Alpenvorland
Salix,Salix eleagnos,1,Strauch,Ufer,Alpenvorland
Solanum,Solanum Dulcamara,1,Kletterpflanze,Röhricht,Alpenvorland
Sparganium,Sparganium erectum L.,1,Krautig,Röhricht,Alpenvorland
Typha,Typha latifola,1,Wasserpflanze,Fluss,Oberrheingebiet
Ufer,Calamagrostis pseudophragmites,1,Gras,Ufer,Oberrheingebiet
